k	ConvSteps	A_TotalPVs	B_Converged	C_AlreadyConv	D_Unconverged	Ratio
1	1	2	1	0	1	5.000000000000000e-1
2	2	4	1	2	1	2.500000000000000e-1
3	-	8	0	6	2	2.500000000000000e-1
4	4	16	1	12	3	1.875000000000000e-1
5	5	32	2	26	4	1.250000000000000e-1
6	-	64	0	56	8	1.250000000000000e-1
7	7	128	3	112	13	1.015625000000000e-1
8	8	256	7	230	19	7.421875000000000e-2
9	-	512	0	474	38	7.421875000000000e-2
10	10	1024	12	948	64	6.250000000000000e-2
11	-	2048	0	1920	128	6.250000000000000e-2
12	12	4096	30	3840	226	5.517578125000000e-2
13	13	8192	85	7740	367	4.479980468750000e-2
14	-	16384	0	15650	734	4.479980468750000e-2
15	15	32768	173	31300	1295	3.952026367187500e-2
16	16	65536	476	62946	2114	3.225708007812500e-2
17	-	131072	0	126844	4228	3.225708007812500e-2
18	18	262144	961	253688	7495	2.859115600585937e-2
19	-	524288	0	509298	14990	2.859115600585937e-2
20	20	1048576	2652	1018596	27328	2.606201171875000e-2
